제목,등록일,조회수,링크,본문
2026년 제3차 증권선물위원회 불공정거래 위반 조치 의결,2026-04-03,1369,https://fsc.go.kr/no070200/86748?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제3차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제42호 0000 등 주식에 대한 미공개중요정보  이용 금지위반 조치안 (원안의결)
- ♤♤♤는 ’23.11.~’24.4. 기간 공시대리업체 ♠♠♠♠♠♠의 대표이사로직무를 수행하는 과정에서 총 3건의 ○○○○, △△△△△△ 관련 미공개중요정보를 지득한 뒤, 본인 및 배우자의 증권계좌에서 주식을매매하여 부당이
득을 취득하고,  또한, ◇◇◇에게 동 정보를 전달하여 주식을 매수하게 하고 해당 매매차익의 일부를 수취한 혐의가 있음
-
◇◇◇
는 ’23.11.~’24.2. 기간 ♤♤♤에게 총 3건의 ○○○○, △△△△△△ 관련 미공개중요정보를 전달받아 지득한 뒤, 배우자명의의 증권계좌를 이용하여 주식을 매매하고 취득한 매매차익의 일부를 ♤♤♤에게 송금한 혐의가 있음
-
♧♧♧
는 ’22.3.~’24.4. 기간 IR컨설팅업체 ♣♣♣♣의 대표이사로 직무를 수행하는 과정에서 총 4건의 □□□□□□□ 관련 미공개중요정보를 지득하고, 본인 명의의 증권계좌에서 동 종목의 주식을매매하여 부당이득을 취득한
혐의
가 있음
-
◆◆◆
는 ♠♠♠♠♠♠ 재직 중 ♧♧♧ ♧♧♧♧♧♧♧에게 □□□□□□□의‘××××××의 ××× ×× 공시(공시 ’××.×.××.)’ 관련 보도자료 검토 등을 요청받는 과정에서 직무상 미공개중요정보를 지득한 뒤, ’××. ×. ×. 본인 명의의 증권계좌에서 □□□□□□□ 주식을 매수하고, 공개 익일(×.××.) 전량 매도하여 부당이득을 취득한 혐의가 있음
ㅁ
의결안건 제44호 ㈜○○○○○ 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (수정의결)
-
▨▨▨는 ㈜○○○○○의 최대주주이자 업무집행지시자로서 ’18.4월중순 경 ’17년도 사업연도 내부결산 결과를 보고받는 과정에서 ‘영업이익 및 당기순이익 적자전환’ 정보를 직무상 지득하고, 동 정보가 공개되기 전 ‘18.5.11.~5.15. 기간 중 이를 이용하여 본인및 법인 소유 ㈜○○○○○ 주식을 매도한 혐의가 있음
ㅁ
의결안건 제45호 OOOOOOOOO㈜ 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (원안의결)
-
AAA는 □□□□□□□ 제제연구소에서 과장으로 근무하면서 ‘코로나19 흡입치료제 연구 결과 발표 및 개발추진’에 관한 정보를 직무상 지득하고, 동 정보가 공개되기 전 ’20.8.14~18일 동사 주식을 매수하고, 동 정보를 배우자 BBB에게 전달하여 동사 주식 매매에이용하게 한 혐의가 있음
- BBB는 동 정보를 전달받아, ’20.8.14~18일 동사 주식을 매수하고, 친구 CCC, DDD과 공모하여 ’20.8.18. 동사 주식을 매수한 혐의가있음
ㅁ
의결안건 제46호 ㈜○○○○○○○○ 주식에 대한 미공개정보 이용행위 금지 위반 등 조치안 (원안의결)
-
●●●은 ○○○○○○○○ 경영지원부장(CFO)으로서 ｢◇◇◇◇를대상으로 한 3자배정 유상증자 결정｣(중요정보①) 관련 내부자이고, ｢◇◇◇◇의 ○○○○○○○○ 주식 추가 인수 및 콜옵션 계약 체결｣(중요정보②) 및 ㈜○○○○○○○○의 ｢최대주주 변경을 수반하는 주식양수도 계약 체결｣(중요정보④) 관련 준내부자로서, 중요정보①,②,④를 직무상 지득하고, 이를 이용하여 배우자 명의 계좌를 통해 동사 주식을 매수한 혐의가 있음
-
◆◆◆은 ◇◇◇◇ 기획팀 기획그룹 직원으로 내부자로서 중요정보④를 직무상 지득하고, 동 정보를 ▒▒▒, ■■■에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
-
△△△은 ○○○○○○○○의 수석연구원으로 준내부자로서 중요정보④를 직무상 지득하고, 이를 이용하기로 배우자 ▲▲▲와 공모하여 본인 및 ▲▲▲ 명의 계좌를 통해 동사 주식을 매수한 혐의가있음
-
▽▽▽는 ○○○○○○○○ 대표이사 및 대주주로서 중요정보①, ②,④ 및 ｢삼성웰스토리와의 업무협약 체결｣(중요정보③)을 직무상 지득하고, 동 정보를 ▼▼▼ 및 ◁◁◁에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
-
◀◀◀은 ○○○○○○○○의 수석연구원으로서 중요정보①을 직무상지득하고, 동 정보를 ▷▷▷, ▶▶▶, ♤♤♤, ♠♠♠, ♡♡♡에게 전달하여 ○○○○○○○○ 주식 매매에 이용하게 한 혐의가 있음
-
♥♥♥은 ◇◇◇◇ 또는 ○○○○○○○○ 소속 불상의 임·직원으로부터 중요정보④를 전달받고, 이를 이용하여 동사 주식을 매수한 혐의가 있음
-
◆◆◆은 ◇◇◇◇ 기획팀 직원으로서 중요정보④를 직무상 지득하고, 동 정보를 이용하여 경제적 연관성이 높은 9개사 주식을 매수한 바, 금융상품의 매매와 관련하여 부정한 수단, 계획 또는 기교를 사용한 혐의가 있음
* 의결안건 제42, 44, 45, 46호는 비공개안건으로 안건은 비공개"
2026년 제2차 증권선물위원회 불공정거래 위반 조치 의결,2026-03-26,1096,https://fsc.go.kr/no070200/86613?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제2차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제29호 ㈜OOOO 등 3종목 주식에 대한 미공개중요정보 이용 금지 위반 등 조치안 (원안의결)
- △△은 ㈜●●●● 등 3종목 공개매수사무취급자인 ◆◆투자증권의 직원으로, 2023. 1. 5. ~ 2024.1.19. 기간 중 ㈜●●●● 등 3종목의 공개매수 실시 미공개정보를 지득하고, 이를 이용하여 주식을 매수하고 동 정보를 전달한 혐의가 있음
- ▲▲▲는 ◆◆투자증권의 직원 △△에게
㈜●●●● 등 3종목의
공
개
매
수
실
시
미
공
개
정
보
를
전득받고, 이를 이용하여 주식을 매수하고 동 정보를 전달한 혐의가 있음
- ▽▽▽는 ▲▲▲로부터
㈜●●●● 등 3종목의
공개매수 실시 미공개정보를 전득받고, 이를 이용하여 주식을 매수하고 동 정보를 전달한 혐의가 있음
- ★★★은 ▲▲▲로부터
㈜●●●● 등 3종목의
공개매수 실시 미공개정보를 전득받고, 이를 이용하여 주식을 매수하고 동 정보를 전달한 혐의가 있음
- ♤♤♤는 ▲▲▲로부터
㈜●●●● 등 3종목의
공개매수 실시 미공개정보를 전득받고, 이를 이용하여
주식을 매수하고 동 정보를 전달한 혐의가 있음
-
♡♡♡은 ▽▽▽로부터
㈜●●●●
등 2종목의
공개매수 실시 미공개정보를 전득받고, 이를 이용하여 주식을 매수한 혐의가 있음
-
♥♥
♥은 ♤♤♤
로
부
터
㈜
●
●
●
●
등 2종목의
공
개
매
수
실
시
미
공
개
정
보
를
전
득받고, 이를
이용하여 주식을 매수한 혐의가 있음
-
♧♧♧은 ♤♤♤로부터 ◇◇◇◇◇㈜ 종목의 공개매수 실시 미공개정보를 전득받고,
이를
이용하여 주식을 매수한 혐의가 있음
ㅁ
의결안건 제32호 OOOOO㈜ 주식에 대한 시세조종행위 금지 위반 등 조치안 (원안의결)
- ◆◆◆(★★★★★★㈜ 실질사주)는 ★★★★★★㈜가 담보로 제공한 ○○○○○㈜ 주식의 반대매매를 방지할 목적으로, □□□에게 지시하여 ’23.2.21.~4.25. 및 ’23.11.8.~’24.6.5. 기간 중 총 2,152 회의 시세조종 주문을 제출한 혐의가 있음
* 의결안건 제29, 32호는 비공개안건으로 안건은 비공개"
2026년 제1차 증권선물위원회 불공정거래 위반 조치 의결,2026-03-06,891,https://fsc.go.kr/no070200/86612?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제1차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제12호 (주)OOO 주식에 대한 부정거래행위금지 위반 등 조치안 (원안의결)
- AAA, BBB은 ㈜OOO 주식을 고가에 매도할 목적으로 동사 주식 및 경영권 인수 자금을 은폐 및 허위기재하고, 납입능력이 없는 인수인을 대상으로 전환사채를 발행하는 등 부정한 수단, 계획 또는 기교 및 위계를 사용한 혐의가 있음
- CCC는 ’21.3월말 AAA로부터 인수자금 조달을 요청받는 과정에서㈜OOO 주식 대량취득 실시정보를 지득하고, 주식매매에 이용하고,
동 정보를 DDD에게 전달하여 주식매매에 이용하게 한 혐의가 있음
ㅁ
의결안건 제14호 ㈜OOOOO 주식에 대한 미공개 중요정보 이용행위 금지 위반 조치안(원안의결)
- ●●●은 前 ㈜☆☆☆☆☆ 재무팀 공시담당자로서 본건 미공개중요정보인 ☆☆☆☆☆와 ★★★★의 콘텐츠 공급관련 전략적 파트너십 체결 사실을 ’24.10.14. 14:13경 직무상 지득하여, 동 정보가 공개된 ’24.12.20. 15:18까지의 기간 동안 동 정보를이용하여 본인 및 모친 명의 증권 계좌를 통해 ☆☆☆☆☆ 주식 94,610주를 매수한 혐의가 있으며, 부친 ◆◆◆에게 ’24.11.20.경 해당 정보를 전달하여 정보공개전까지 5,033주를 매수하게 한 혐의가 있음
- ◆◆◆은 ●●●의 부친으로, ●●●으로부터 본건 미공개중요정보를 ’24.11.20.경 전달받아, 동 정보가 공개된 ’24.12.20. 15:18경까지 본인 명의 계좌를 이용하여 ☆☆☆☆☆ 주식 총 5,033주를 매수한 혐의가 있음
* 의결안건 제12, 14호는 비공개안건으로 안건은 비공개"
2025년 제22차 증권선물위원회 불공정거래 위반 조치 의결,2026-02-06,1247,https://fsc.go.kr/no070200/86310?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제22차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제326호 ㈜OOOOOOOO 주식에 대한 시세조종행위 금지 위반 조치안(원안의결)
- 전업투자자 ◆◆◆, ★★★, □□□, ♧♧♧는 ’22.12.15. ~ ’22.12.28. 기간 중 상호 공모하여 단기간 내 매매거래를 통한 부당이득을 취득하기 위하여 총 11,764회에 걸쳐 449,704,878주의 시세조종주문을 제출
* 의결안건 제326호는 비공개안건으로 안건은 비공개"
2025년 제21차 증권선물위원회 불공정거래 위반 조치 의결,2026-01-23,1129,https://fsc.go.kr/no070200/86309?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제21차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제306호 OOO㈜ 주식에 대한 미공개 중요정보 이용 금지 위반 등 조치안  (원안의결)
- ●●●는 ○○○의 창업주 및 최대주주이자, 동사의 주요한 의사결정을 내리는 위치에 있는 내부자로서, 동사의 자기주식 200,000주 매도라는 미공개 중요정보를 직무상 지득하고 이를 이용하여, 동사 주식 150,000주를 매도한 혐의가 있음
ㅁ
의결안건 제307호 ㈜OOO 주식에 대한 미공개중요정보 이용행위 금지 위반 조치안 (원안의결)
- ☆☆☆는 ○○○에 대해 ‘최대주주 변경을 수반하는 경영권 및 주식양수도 계약’(본 건 미공개정보)을 교섭한 ■■■의 종업원으로서 준내부자이며, 본 건 미공개정보를 직무상 지득하고, 이를 이용하여 본인 및 차명계좌로 동사 주식 110,505주를 매수하고, 동 미공개정보를 친척 ★★★ ­­­에게 전달하여 동사 주식매매에 이용하게 한 혐의가 있음
- ●●●은 준내부자인 ■■■으로부터 본 건 미공개정보를 전달받아, 이를 이용하여 동사 주식 3,000주를 매수한 혐의가 있음
- ◎◎◎는 본 건 미공개정보 관련 계약을 교섭한 ◇◇◇의 종업원으로서 준내부자이며, 본 건 미공개정보를 직무상 지득하고, 이를 이용하여 본인계좌로 동사 주식 14,634주를 매수한 혐의가 있음
- ◇◇◇은 본 건 미공개정보 관련 계약을 교섭한 자로 본 건 미공개정보를 직무상 지득하고, 지인 ▼▼▼, ◆◆◆, □□□에게 본 건 미공개정보를 전달하여 동사 주식매매에 이용하게 한 혐의가 있음
- ▼▼▼는 본 건 미공개정보를 ◇◇◇로부터 전달받아, 지인 ◑◑◑에게 전달하여 동사 주식매매에 이용하게 한 혐의가 있음
ㅁ
의결안건 제308호 Goldman Sachs International 등 4개사의 공매도 규제 위반 조치안 (원안의결)
- Goldman Sachs International은 ’25.4.1. 본인이 소유하지 않은 ㈜오픈놀 주식 43주를 매도주문한 사실이 있음
- ㈜BNK투자증권은 ’25.4.9. 및 4.16. 본인이 소유하지 아니한 ㈜에코프로 등 주식 1,484주를 매도주문한 사실이 있음
- 엘에스증권㈜는 ’25.4.2. 본인이 소유하지 않은 성일하이텍㈜ 주식73주를 매도주문한 사실이 있음
- 교보증권㈜는 ’25.4.8. 본인이 소유하지 않은 ㈜지아이이노베이션 주식 1주를 매도주문한 사실이 있음
ㅁ
의결안건 제309호 Jefferies International Limited의 공매도 규제 위반 조치안 (원안의결)
- Jefferies International Limited는 2025.4.8. 본인이 소유하지 않은 ㈜원익IPS 주식 3,455주를 매도주문한 사실이 있음
* 의결안건 제306,307호는 비공개안건으로 안건은 비공개"
2025년 제20차 증권선물위원회 불공정거래 위반 조치 의결,2026-01-09,1081,https://fsc.go.kr/no070200/86041?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제20차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제287호 ㈜)OOOOOO 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (원안의결)
- ●●●은 OOOOOO M&A 관련 계약체결 업무를 수행한 ◇◇◇(준내부자)로부터 ’24.6월 중순경 동사 경영권 변경 관련 호재성 미공개정보를 전달 받고, 이를 이용하여 ’24.6.14.~17. 본인 명의계좌로 동사 주식을 매매하고, 동 미공개정보를 지인 □□□에게 전달하여 동사 주식매매에 이용하게 한 혐의가 있음
* 의결안건 제287호는 비공개안건으로 안건은 비공개"
2025년 제19차 증권선물위원회 불공정거래 위반 조치 의결,2025-12-26,1121,https://fsc.go.kr/no070200/86040?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제19차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제268호 OOOO㈜ 주식에 대한 시세조종행위 금지 위반 등 조치안 (수정의결)
-
●●●은 ○○○○㈜ 등에게 본인 등이 소유하고 있는 동사 주식을고가에 매도하고, 담보로 제공한 동사 주식의 반대매매를 방지하기위하여, ’23.5.12.~’24.1.25. 기간 중 본인 및 차명계좌를 이용하여총 727회의 시세조종성 주
문을 제출
-
●●●은 ○○○○㈜ 주식의 관리종목 지정을 회피할 목적으로, ’23.12.22. 본인 및 차명계좌를 이용하여 통정매매함으로써 거래량을증가시키는 등 부정한 수단, 계획 또는 기교를 사용
* 의결안건 제268호는 비공개안건으로 안건은 비공개"
2025년 제18차 증권선물위원회 불공정거래 위반 조치 의결,2025-12-12,1286,https://fsc.go.kr/no070200/86039?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제18차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제256호 ㈜OOOOO 주식에 대한 부정거래행위 금지 위반 등 조치안(수정의결)
-
■■■, ◆◆◆, △△△, ▲▲▲은 구주 양수도 계약 등을 통해 주권상장법인인 ○○○○○를 인수한 후 주가를 부양하여 고가에 처분할목적으로 공모하여, 2차전지 사업을 추진한다는 거짓 외관을 형성하는등 부정한 수단 또는 위계를 사용하는 등 부정거래를 한 혐의가 있음
-
▲▲▲은 준내부자로서 ㈜○○○○○의 경영권이 변경될 것이라는정보를 지득하고, 동 정보를 지인인 ●●●, □□□에게 전달하여, 정보가 공개되기 전 동 정보를 이용하여 ’23. 3. 15.∼4. 3. 기간 중 동사 주식을 매수하도록 한 혐의가 있음
ㅁ
의결안건 제260호 ㈜신한자산운용의 공매도 규제 위반 조치안 (원안의결)
- 신한자산운용㈜은 ’23.3.14. 본인이 운용 중이었던 신한 Mezzanine 일반사모 혼합자산투자신탁 제2호가 소유하지 않은 ㈜에코프로 주식 5,000주(18억 5,331만원)를 매도 주문한 사실이 있음
ㅁ
의결안건 제261호 Alberta Investment Management Corporation 등 2개사의 공매도 규제 위반 조치안 (수정의결)
-
Alberta Investment Management Corporation은 ’24.7.23. Emerging Markets Quantitative Equities Strategy가 소유하지 않은 현대글로비스㈜ 주식 30,562주(35억 5,292만원)를 매도주문한 사실이 있음
-
지아이씨 프라이빗 리미티드는 ’22.3.21. 본인이 운용 중이었던 계좌가 소유하지 않은 ㈜호텔신라 주식 8,415주(6억 6,610만원)를 매도 주문한 사실이 있음
ㅁ
의결안건 제262호 Pareto Securities AS 등 3개사의 공매도 규제 위반 조치안 (원안의결)
-
Pareto Securities AS는 ’22. 11. 23. 운용하는 회사가 소유하지 아니한 삼성전자㈜ 보통주 178,879주(109억 1,409만원)를 매도주문한사실이 있음
-
Invesco Capital Management LLC는 ’22. 6. 29. 운용하는 2개 펀드가 소유하지 아니한 ㈜에코프로비엠 보통주 13,255주(15억 7,980만원)를 매도주문한 사실이 있음
-
Amundi Asset Management는 ’21. 1. 25. 운영하는 펀드가 소유하지 아니한 DL㈜ 보통주 4,496주(3억 2,236만원)를 매도주문한 사실이 있음
ㅁ
의결안건 제263호 The Northern Trust Company Hong Kong Limited.의 공매도 규제 위반 조치안 (원안의결)
-
The Northern Trust Company of Hong Kong Limited는 ’23.5.31. 운용하는 펀드가 소유하지 않은 롯데에너지머티리얼즈㈜ 6,811 주(3억 7,512만원)를 매도주문한 사실이 있음
* 의결안건 제256호는 비공개안건으로 안건은 비공개"
2025년 제17차 증권선물위원회 불공정거래 위반 조치 의결,2025-11-21,1066,https://fsc.go.kr/no070200/85806?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제17차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제240호 정치테마주 풍문유포에 대한 부정거래행위 금지 위반 조치안 (원안의결)
- ●●●은 제22대 총선(’24.4.10.) 및 제21대 대선(’25.6.3.)을 앞두고매매차익을 목적으로 ㈜○○○○○ 등 51개 종목 주식을 정치인 테마로 강조하는 합리적 근거가 없는 글을 총 981차례에 걸쳐 게시·유포하면서, 총 54회에 걸쳐 사전 매집한 주식을 전량 처분함
-
□□□은 제22대 총선(’24.4.10.) 및 제21대 대선(’25.6.3.)을 앞두고매매차익을 목적으로 ㈜△△△△△ 등 15개 종목 주식을 정치인 테마로 강조하는 합리적 근거가 없는 글을 총 1,080차례에 걸쳐 게시·유포하면서, 총 15회에 걸쳐 사전 매집한 주식을 전량 처분함
ㅁ
의결안건 제241호 ㈜OOO 주식에 대한 부정거래행위 금지 위반 등 조치안 (원안의결)
- ☆☆☆, ★★★, ­­­, ●●●은 공모하여 자신들이 지배하는 ㈜◎◎◎◎◎◎◎◎ 및 ㈜◇◇ 등 비상장법인을 내세워 ’20.9.4.～11.16. 중 사채자금 등을 이용하여 ㈜○○○ 주식을 무자본 인수하여 단기간내 고가에 처분할 목적으로, 자금력이 풍부한 교육 전문회사가 경영권을 취득하는 외관을 형성하여 주가를 부양시키는등 부정한 수단･계획･기교 등을 사용한 혐의가 있음
* 의결안건 제240~241호는 비공개안건으로 안건은 비공개"
2025년 제16차 증권선물위원회 불공정거래 위반 조치 의결,2025-11-07,1075,https://fsc.go.kr/no070200/85704?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제16차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제214호 The Teacher Retirement System of Texas 등 3개사의 공매도 규제 위반 조치안 (수정의결)
- The Teacher Retirement System of Texas는 2021.7.30. 본인이 소유하지않은신풍제약㈜ 1,810주(1억 1,673만원)를 매도주문한 사실이 있음
- California Public Employees‘ Retirement System는 2021.10.27. ~2021.10.29.까지 본인이 소유하지 않은 현대건설㈜ 우선주1,184주(1억 8,071만원)를 매도주문한 사실이 있음
- 교보증권㈜은 2021.3.2. 본인이 소유하지 않은 ㈜두산 138주(662만원)를매도주문한 사실이 있음
ㅁ
의결안건 제215호 수산업협동조합중앙회의 공매도 규제 위반 조치안 (수정의결)
- 수산업협동조합중앙회는 2023.8.7. 본인이 소유하지아니한KODEX 코스닥150 ETF 260,000주(37억 1,049만원)를 매도주문한사실이 있음
ㅁ 의결안건 제216호 지브이에이자산운용㈜의 공매도 규제 위반 조치안 (원안의결)
-
지브이에이자산운용㈜은 2024.1.2. 본인이 운용 중이었던 일반사모펀드(Fortress-A, Saber-V)가 소유하지 않은 ㈜아티스트컴퍼니 주식60,193주(12억 428만원)를 매도 주문한 사실이 있음
ㅁ
의결안건 제21
7호 New August Holdings의 공매도 규제 위반 조치안 (원안의결)
-
New August Holdings는 2021.11.24. ㈜테이팩스 주식을 소유하고있지않은 상태에서 3,960주(328,185,000원)에 대한 무차입공매도 주문을제출한사실이 있음
ㅁ
의결안건 제224호 ㈜OOOOO 주식에 대한 시세조종행위 금지위반 등 조치안(수정의결)
-
◇◇◇는 보유중이던 ㈜●●●●●의 주가가 하락하여 담보로 제공한주식이 반대매도될 상황에 이르자 이를 방지하고 이후 주가 상승을통해 보유 주식을 고가에 매도하기 위하여, 총 1,300회의 시세조종주문을 제출하였음
-
㈜▽▽는 ’20.3.26.～’20.11.20. ㈜●●●●● 주식 대량보유 보고를총 3회 이행하면서 보유목적을 ‘주주제안’으로 기재하였음에도, 단순투자 목적시 사용하는 ‘약식’ 양식으로 보고함에 따라 ◇◇◇등의 주식담보계약 체결 내역 등을 보고하지 않은 사실이 있음
ㅁ
의결안건 제225호
㈜OOOOOO 주식에 대한 미공개정보 이용행위 금지 위반 등 조치안(원안의결)
-
◁◁◁은 前 ㈜○○○○○○의 대표이사로 ‘㈜○○○○○○에 대한파산신청 접수’라는 미공개중요정보를 직무상 지득하고, 동 정보를 ▼▼▼에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
-
▼▼▼은 ◁◁◁으로부터 본건 미공개중요정보를 전달받아, ▲▲▲와공모하여 동 정보가 공개되기 전 본인 및 차명계좌로 보유중인 동사 주식을 전량 매도하고, 동 정보를 ★★★에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
* 의결안건 제224~225호는 비공개안건으로 안건은 비공개"
2025년 제15차 증권선물위원회 불공정거래 위반 조치 의결,2025-10-24,11084,https://fsc.go.kr/no070200/85487?srchCtgry=&curPage=2&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제15차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제203호 ㈜OOOOOO·㈜OOOOO 주식에 대한 시세조종행위 금지 위반 등 조치안 (원안의결)
-
●●●은 △△△, ▲▲▲, ★★★와 공모하여 ㈜○○○○○○ 주식의주가상승을 통한 매매차익을 취득하기 위해 매매 거래가 성황인 것으로 오인하게 하거나 매매 거래를 유인할 목적으로, ’22.5.20.~8.31. 기간 중 고가매수, 허수매수, 종가관여, 시가관여, 물량소진, 가장·통정매매 등 총 1,641회(1,660,390주)에 걸쳐 시세조종 주문을 제출한 혐의가 있음
-
◆◆◆은 ㈜○○○○○○의 경영권 양수도 계약 업무를 담당하는 과정에서 ‘㈜▣▣▣▣의 ㈜○○○○○○ 주식 대량취득 실시’ 정보를지득하고, 동 정보가 공개되기 전 지인 ◉◉◉에게 전달하여 ㈜ ○○○○○○ 주식 매매에 이용하게 한 혐의가 있음
- ●●●은 ‘㈜▩▩▩▩▩▩의 ◎◎◎◎◎ 유상증자 참여 결정’ 정보를직무상 지득하고, 동 정보가 공개되기 전 사촌동생 ▤▤▤에게 전달하여 ㈜◎◎◎◎◎ 주식 매매에 이용하게 한 혐의가 있음
ㅁ
의결안건 제204호 OOOOOOOOO㈜ 주식에 대한 미공개정보 이용행위 금지 위반 등 조치안(원안의결)
-
▲▲▲은 ‘●●●●●●㈜의 ○○○○○○○○○㈜ 지분인수’라는 미공개 중요정보를 직무상 지득하고, 배우자 ◎◎◎과 공모하여 동 정보가 공개되기 전 동사 주식 52,873주를 매수한 혐의가 있음
* 의결안건 제203~204호는 비공개안건으로 안건은 비공개"
2025년 제14차 증권선물위원회 불공정거래 위반 조치 의결,2025-09-12,13959,https://fsc.go.kr/no070200/85381?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제14차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제190호 ㈜OOOOOOO 주식에 대한 미공개정보 이용행위 금지 위반 우선심의 조치안 (원안의결)
-
◆◆◆은 ●●●●●●●●●㈜ 임원으로서, 이사회 의결사항인 ◐◐◐◐◐◐◐의 지배구조 개편 정보를 직무상 지득하고, □□□과공모하여 ㈜○○○○○○○ 주식을 매수하고, 동 정보를 ★★★에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
- ♧♧♧은 ●●●●●●●●●㈜ 임원으로서, 경영회의 등을 통해 ◐◐◐◐◐◐◐의 지배구조 개편 정보를 직무상 지득하고, 이를 이용하여 ㈜○○○○○○○ 주식을 매수하고, - 동 정보를 ◉◉◉ 및 ◈◈◈에게 전달하여 동사 주식 매매에 이용하게 한 혐의가 있음
- ▥▥▥은 ●●●●●●●●●㈜ 직원으로서, 관련 직무를 담당하는 - 2 - 동사 임직원 등을 통해 ◐◐◐◐◐◐◐의 지배구조 개편 정보를 전달받고 이를 이용하여 ㈜○○○○○○○ 주식을 매수한 혐의가 있음
- ◍◍◍은 ●●●●●●●●●㈜ 직원으로서, 경영회의 등을 통해 ◐◐◐◐◐◐◐의 지배구조 개편 정보를 직무상 지득하고, 이를 이용하여 ㈜○○○○○○○ 주식을 매수한 혐의가 있음
ㅁ 의결안건 제191호 ㈜OOO 주식에 대한 부정거래행위 금지 위반 우선심의 조치안(원안의결)
-
■■■, □□□, △△△, ◇◇◇는 공모하고, ◆◆◆의 조력을 받아, ㈜○○○의 상장이 지연될 것처럼 기존 주주들을 기망하여, 보유중인 주식을 본인들이 설립한 사모펀드에 매각하게 하고, ㈜○○○ 주식 매각차익을 ○○○과 공유하는 주주간 계약을 체결하였음에도, 상장 시 상기 사모펀드와의 관계 및 계약을 은폐하여, 상장 후 ㈜○○○의 매각차익을 ○○○이 취득하도록 하는 등 부정거래행위를 한 혐의가 있음
* 의결안건 제190~191호는 비공개안건으로 안건은 비공개"
2025년 제13차 증권선물위원회 불공정거래 위반 조치 의결,2025-08-29,14167,https://fsc.go.kr/no070200/85258?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제13차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제179호 ㈜OOOOOOO 주식에 대한 미공개정보 이용행위 금지 위반 등 조치안 (수정의결)
-
△△△은 ㈜○○○○○○○의 대표이사로서 ㈜○○○○○○○의 외부 기말감사 의견거절이라는 미공개 중요정보를 직무상 지득하고, 이를 이용하여 본인 및 차명 계좌로 동사 주식을 매도한 혐의가 있음
- ▲▲▲은 ㈜○○○○○○○의 사내이사로서 본건 정보를 직무상 지득하고, 이를 이용하여 본인의 회사 명의 계좌로 동사 주식을 매도한 혐의가 있음
* 의결안건 제179호는 비공개안건으로 안건은 비공개"
